instrument_token	exchange_token	tradingsymbol	name	last_price	expiry	strike	tick_size	lot_size	instrument_type	segment	exchange
11772930	45988	NIFTY21JUN10000CE	NIFTY	0	6/24/2021	10000	0.05	75	CE	NFO-OPT	NFO
11773186	45989	NIFTY21JUN10000PE	NIFTY	0	6/24/2021	10000	0.05	75	PE	NFO-OPT	NFO
11773442	45990	NIFTY21JUN10100CE	NIFTY	0	6/24/2021	10100	0.05	75	CE	NFO-OPT	NFO
11773698	45991	NIFTY21JUN10100PE	NIFTY	0	6/24/2021	10100	0.05	75	PE	NFO-OPT	NFO
11774210	45993	NIFTY21JUN10200PE	NIFTY	0	6/24/2021	10200	0.05	75	PE	NFO-OPT	NFO
11774978	45996	NIFTY21JUN10300CE	NIFTY	0	6/24/2021	10300	0.05	75	CE	NFO-OPT	NFO
11775234	45997	NIFTY21JUN10300PE	NIFTY	0	6/24/2021	10300	0.05	75	PE	NFO-OPT	NFO
11775490	45998	NIFTY21JUN10400CE	NIFTY	0	6/24/2021	10400	0.05	75	CE	NFO-OPT	NFO
11775746	45999	NIFTY21JUN10400PE	NIFTY	0	6/24/2021	10400	0.05	75	PE	NFO-OPT	NFO
11776514	46002	NIFTY21JUN10500CE	NIFTY	0	6/24/2021	10500	0.05	75	CE	NFO-OPT	NFO
11776770	46003	NIFTY21JUN10500PE	NIFTY	0	6/24/2021	10500	0.05	75	PE	NFO-OPT	NFO
11777026	46004	NIFTY21JUN10600CE	NIFTY	0	6/24/2021	10600	0.05	75	CE	NFO-OPT	NFO
11777282	46005	NIFTY21JUN10600PE	NIFTY	0	6/24/2021	10600	0.05	75	PE	NFO-OPT	NFO
11778050	46008	NIFTY21JUN10700CE	NIFTY	0	6/24/2021	10700	0.05	75	CE	NFO-OPT	NFO
11778306	46009	NIFTY21JUN10700PE	NIFTY	0	6/24/2021	10700	0.05	75	PE	NFO-OPT	NFO
9514242	37165	NIFTY21JUN10800CE	NIFTY	0	6/24/2021	10800	0.05	75	CE	NFO-OPT	NFO
9514498	37166	NIFTY21JUN10800PE	NIFTY	0	6/24/2021	10800	0.05	75	PE	NFO-OPT	NFO
10489858	40976	NIFTY21JUN10900CE	NIFTY	0	6/24/2021	10900	0.05	75	CE	NFO-OPT	NFO
10490114	40977	NIFTY21JUN10900PE	NIFTY	0	6/24/2021	10900	0.05	75	PE	NFO-OPT	NFO
11321858	44226	NIFTY21JUN11000CE	NIFTY	0	6/24/2021	11000	0.05	75	CE	NFO-OPT	NFO
11322114	44227	NIFTY21JUN11000PE	NIFTY	0	6/24/2021	11000	0.05	75	PE	NFO-OPT	NFO
13589250	53083	NIFTY21JUN11100PE	NIFTY	0	6/24/2021	11100	0.05	75	PE	NFO-OPT	NFO
9646338	37681	NIFTY21JUN11200CE	NIFTY	0	6/24/2021	11200	0.05	75	CE	NFO-OPT	NFO
9646594	37682	NIFTY21JUN11200PE	NIFTY	0	6/24/2021	11200	0.05	75	PE	NFO-OPT	NFO
10326018	40336	NIFTY21JUN11300CE	NIFTY	0	6/24/2021	11300	0.05	75	CE	NFO-OPT	NFO
10327042	40340	NIFTY21JUN11300PE	NIFTY	0	6/24/2021	11300	0.05	75	PE	NFO-OPT	NFO
11077890	43273	NIFTY21JUN11400CE	NIFTY	0	6/24/2021	11400	0.05	75	CE	NFO-OPT	NFO
11079426	43279	NIFTY21JUN11400PE	NIFTY	0	6/24/2021	11400	0.05	75	PE	NFO-OPT	NFO
10049026	39254	NIFTY21JUN11500CE	NIFTY	0	6/24/2021	11500	0.05	75	CE	NFO-OPT	NFO
10049282	39255	NIFTY21JUN11500PE	NIFTY	0	6/24/2021	11500	0.05	75	PE	NFO-OPT	NFO
10679810	41718	NIFTY21JUN11600CE	NIFTY	0	6/24/2021	11600	0.05	75	CE	NFO-OPT	NFO
10682114	41727	NIFTY21JUN11600PE	NIFTY	0	6/24/2021	11600	0.05	75	PE	NFO-OPT	NFO
9725186	37989	NIFTY21JUN11700CE	NIFTY	0	6/24/2021	11700	0.05	75	CE	NFO-OPT	NFO
9725954	37992	NIFTY21JUN11700PE	NIFTY	0	6/24/2021	11700	0.05	75	PE	NFO-OPT	NFO
12463106	48684	NIFTY21JUN11800CE	NIFTY	0	6/24/2021	11800	0.05	75	CE	NFO-OPT	NFO
12146178	47446	NIFTY21JUN11900CE	NIFTY	0	6/24/2021	11900	0.05	75	CE	NFO-OPT	NFO
12147202	47450	NIFTY21JUN11900PE	NIFTY	0	6/24/2021	11900	0.05	75	PE	NFO-OPT	NFO
9003266	35169	NIFTY21JUN12000CE	NIFTY	0	6/24/2021	12000	0.05	75	CE	NFO-OPT	NFO
9003522	35170	NIFTY21JUN12000PE	NIFTY	0	6/24/2021	12000	0.05	75	PE	NFO-OPT	NFO
10084610	39393	NIFTY21JUN12100CE	NIFTY	0	6/24/2021	12100	0.05	75	CE	NFO-OPT	NFO
10487554	40967	NIFTY21JUN12200CE	NIFTY	0	6/24/2021	12200	0.05	75	CE	NFO-OPT	NFO
10433282	40755	NIFTY21JUN12400PE	NIFTY	0	6/24/2021	12400	0.05	75	PE	NFO-OPT	NFO
9393922	36695	NIFTY21JUN12500CE	NIFTY	0	6/24/2021	12500	0.05	75	CE	NFO-OPT	NFO
9394690	36698	NIFTY21JUN12500PE	NIFTY	0	6/24/2021	12500	0.05	75	PE	NFO-OPT	NFO
11273218	44036	NIFTY21JUN12700PE	NIFTY	0	6/24/2021	12700	0.05	75	PE	NFO-OPT	NFO
13027842	50890	NIFTY21JUN12800CE	NIFTY	0	6/24/2021	12800	0.05	75	CE	NFO-OPT	NFO
13028098	50891	NIFTY21JUN12800PE	NIFTY	0	6/24/2021	12800	0.05	75	PE	NFO-OPT	NFO
13028354	50892	NIFTY21JUN12850CE	NIFTY	0	6/24/2021	12850	0.05	75	CE	NFO-OPT	NFO
13032194	50907	NIFTY21JUN12850PE	NIFTY	0	6/24/2021	12850	0.05	75	PE	NFO-OPT	NFO
13032450	50908	NIFTY21JUN12900CE	NIFTY	0	6/24/2021	12900	0.05	75	CE	NFO-OPT	NFO
13032706	50909	NIFTY21JUN12900PE	NIFTY	0	6/24/2021	12900	0.05	75	PE	NFO-OPT	NFO
13033986	50914	NIFTY21JUN12950CE	NIFTY	0	6/24/2021	12950	0.05	75	CE	NFO-OPT	NFO
13035778	50921	NIFTY21JUN12950PE	NIFTY	0	6/24/2021	12950	0.05	75	PE	NFO-OPT	NFO
10083586	39389	NIFTY21JUN13000CE	NIFTY	0	6/24/2021	13000	0.05	75	CE	NFO-OPT	NFO
10084354	39392	NIFTY21JUN13000PE	NIFTY	0	6/24/2021	13000	0.05	75	PE	NFO-OPT	NFO
13036034	50922	NIFTY21JUN13050CE	NIFTY	0	6/24/2021	13050	0.05	75	CE	NFO-OPT	NFO
13036290	50923	NIFTY21JUN13050PE	NIFTY	0	6/24/2021	13050	0.05	75	PE	NFO-OPT	NFO
13037058	50926	NIFTY21JUN13100CE	NIFTY	0	6/24/2021	13100	0.05	75	CE	NFO-OPT	NFO
13037570	50928	NIFTY21JUN13100PE	NIFTY	0	6/24/2021	13100	0.05	75	PE	NFO-OPT	NFO
13038082	50930	NIFTY21JUN13150CE	NIFTY	0	6/24/2021	13150	0.05	75	CE	NFO-OPT	NFO
13038594	50932	NIFTY21JUN13150PE	NIFTY	0	6/24/2021	13150	0.05	75	PE	NFO-OPT	NFO
13039106	50934	NIFTY21JUN13200CE	NIFTY	0	6/24/2021	13200	0.05	75	CE	NFO-OPT	NFO
13040130	50938	NIFTY21JUN13200PE	NIFTY	0	6/24/2021	13200	0.05	75	PE	NFO-OPT	NFO
13040898	50941	NIFTY21JUN13250CE	NIFTY	0	6/24/2021	13250	0.05	75	CE	NFO-OPT	NFO
13051650	50983	NIFTY21JUN13250PE	NIFTY	0	6/24/2021	13250	0.05	75	PE	NFO-OPT	NFO
13062658	51026	NIFTY21JUN13300CE	NIFTY	0	6/24/2021	13300	0.05	75	CE	NFO-OPT	NFO
